crawl 1[0.29 seconds used]: {'url': 'http://info.tibet.cn/newzt/yuanzang/yzcg/200505/t20050531_33920.htm', 'anchor_text': u'\u5bf9\u53e3\u652f\u63f4\u897f\u85cf\u7ecf\u6d4e\u5efa\u8bbe\u7684\u4e30\u7855\u6210\u679c', 'value': 3},  [116 urls left in queue]
crawl 2[0.34 seconds used]: {'url': 'http://www.tibet.cn/2010index/wzdt/index.htm', 'anchor_text': u'\u9891\u9053\u5bfc\u822a', 'value': 0},  [260 urls left in queue]
crawl 3[0.86 seconds used]: {'url': 'http://www.bjgaj.gov.cn/web/', 'anchor_text': u'\u4eac\u516c\u7f51\u5b89\u5907110102001709-1\n', 'value': 0},  [733 urls left in queue]
crawl 4[0.48 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainList.htm', 'anchor_text': u'\u6295\u8bc9\u4e3e\u62a5', 'value': 0},  [740 urls left in queue]
crawl 5[0.28 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=21939', 'anchor_text': u'\u660c\u5e73\u738b\u5e84\u5de5\u4e1a\u56ed\u533a\u5929\u7c41...\r\n\t\t\t', 'value': 0},  [739 urls left in queue]
crawl 6[0.32 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=21943', 'anchor_text': u'\u7389\u6d77\u5927\u53a6\u5185\u591a\u5904\u6d88\u9632\u706b...\r\n\t\t\t', 'value': 0},  [738 urls left in queue]
crawl 7[0.28 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22081', 'anchor_text': u'\u4f4d\u4e8e\u6d77\u6dc0\u533a\u5929\u4f5c\u56fd\u9645\u5927...\r\n\t\t\t', 'value': 0},  [737 urls left in queue]
crawl 8[0.30 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22088', 'anchor_text': u'\u5927\u5174\u533a\u701b\u6d77\u9547\u5357\u6d77\u5bb6\u56ed...\r\n\t\t\t', 'value': 0},  [736 urls left in queue]
crawl 9[0.36 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22091', 'anchor_text': u'\u6d88\u9632\u4e0d\u5408\u683c\u9a8c\u6536\u901a\u8fc7\uff0c...\r\n\t\t\t', 'value': 0},  [734 urls left in queue]
crawl 10[0.42 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22092', 'anchor_text': u'\u6167\u5fe0\u91cc\u89c2\u5de2\u5927\u53a6\u65e0\u4efb\u4f55...\r\n\t\t\t', 'value': 0},  [733 urls left in queue]
crawl 11[0.46 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22095', 'anchor_text': u'\u5c0f\u533a\u6d88\u9632\u901a\u9053\u957f\u671f\u53d7\u963b...\r\n\t\t\t', 'value': 0},  [732 urls left in queue]
crawl 12[0.48 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22100', 'anchor_text': u'\u706b\u707e\u9690\u60a3\r\n\t\t\t', 'value': 0},  [731 urls left in queue]
